sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
245,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,grab,cylindrospermopsin,0
245,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,grab,microcystin,0
245,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,grab,nodularin,0
246,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,grab,anatoxin,0
246,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,grab,cylindrospermopsin,0
246,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,grab,microcystin,1.044941413
246,BYS_PC_SH_02,2025-08-04,boysen,shore,NA,grab,nodularin,0
247,BYS_FR_SH_03,2025-08-04,boysen,shore,NA,grab,anatoxin,0
247,BYS_FR_SH_03,2025-08-04,boysen,shore,NA,grab,cylindrospermopsin,0
247,BYS_FR_SH_03,2025-08-04,boysen,shore,NA,grab,microcystin,0
247,BYS_FR_SH_03,2025-08-04,boysen,shore,NA,grab,nodularin,0
248,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,grab,anatoxin,0
248,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,grab,cylindrospermopsin,0
248,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,grab,microcystin,0
248,BYS_CR_SH_04,2025-08-04,boysen,shore,NA,grab,nodularin,0
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,anatoxin,0
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,cylindrospermopsin,0
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,microcystin,0
282,BKS_BL_SH_01,2025-08-18,brooks,shore,NA,grab,nodularin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,anatoxin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,cylindrospermopsin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,microcystin,0
283,BKS_BL_SH_02,2025-08-18,brooks,shore,NA,grab,nodularin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,anatoxin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,cylindrospermopsin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,microcystin,0
284,BKS_BL_SH_03,2025-08-18,brooks,shore,NA,grab,nodularin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,anatoxin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,microcystin,0
285,BKS_BL_SH_04,2025-08-20,brooks,shore,NA,grab,nodularin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,anatoxin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,microcystin,0
286,BKS_BL_SH_05,2025-08-20,brooks,shore,NA,grab,nodularin,0
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,anatoxin,0
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,microcystin,0.47511151
287,BKS_BL_SH_06,2025-08-20,brooks,shore,NA,grab,nodularin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,anatoxin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,cylindrospermopsin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,microcystin,0
288,BKS_BL_SH_07,2025-08-20,brooks,shore,NA,grab,nodularin,0
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,anatoxin,0
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,cylindrospermopsin,0
291,BKS_BL_BU_SS,2025-08-20,brooks,buoy,surface,grab,microcystin,0
