sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
224,BKS_BL_SH_02,2025-08-04,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
225,BKS_BL_SH_03,2025-08-04,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
226,BKS_BL_SH_04,2025-08-04,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
227,BKS_BL_SH_05,2025-08-06,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
228,BKS_BL_SH_06,2025-08-06,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
229,BKS_BL_SH_07,2025-08-06,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
230,BKS_BL_BON,2025-08-06,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
231,BKS_BL_CREEK,2025-08-06,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
232,BKS_BL_BU_SS,2025-08-06,grab,regular,shipped,brooks,buoy,surface,TRUE,FALSE,analyzed
233,BKS_BL_BU_DD,2025-08-06,grab,regular,shipped,brooks,buoy,bottom,TRUE,FALSE,analyzed
234,BKS_UB_SH_08,2025-08-05,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
235,BKS_UB_SH_09,2025-08-05,grab,regular,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
236,BKS_UB_BU_SS,2025-08-05,grab,regular,shipped,upper brooks,buoy,surface,TRUE,FALSE,analyzed
237,BKS_UB_BU_DD,2025-08-05,grab,regular,shipped,upper brooks,buoy,bottom,TRUE,FALSE,analyzed
238,BKS_RN_SH_10,2025-08-05,grab,regular,shipped,rainbow,shore,NA,TRUE,FALSE,analyzed
239,BKS_RN_BU_SS,2025-08-05,grab,regular,shipped,rainbow,buoy,surface,TRUE,FALSE,analyzed
240,BKS_RN_BU_DD,2025-08-05,grab,regular,shipped,rainbow,buoy,bottom,TRUE,FALSE,analyzed
241,BKS_LJ_BU_SS,2025-08-05,grab,regular,shipped,lower jade,buoy,surface,TRUE,FALSE,analyzed
242,BKS_LJ_BU_DD,2025-08-05,grab,regular,shipped,lower jade,buoy,bottom,TRUE,FALSE,analyzed
243,BKS_UB_SH_09,2025-08-05,grab,duplicate,shipped,upper brooks,shore,NA,TRUE,FALSE,analyzed
245,BYS_BR_SH_01,2025-08-04,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
246,BYS_PC_SH_02,2025-08-04,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
247,BYS_FR_SH_03,2025-08-04,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
248,BYS_CR_SH_04,2025-08-04,grab,regular,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
249,BYS_BY_BU_SS,2025-08-04,grab,regular,not collected,boysen,buoy,surface,FALSE,FALSE,not collected
250,BYS_BY_BU_DD,2025-08-04,grab,regular,not collected,boysen,buoy,bottom,FALSE,FALSE,not collected
251,BYS_CR_SH_04,2025-08-04,grab,duplicate,shipped,boysen,shore,NA,TRUE,FALSE,analyzed
252,GRAB_BLANK,2025-08-07,grab,blank,shipped,blank,NA,NA,TRUE,FALSE,analyzed
253,BKS_BL_SH_01,2025-08-18,spatt,regular,shipped,brooks,shore,NA,FALSE,FALSE,missing
254,BKS_BL_SH_02,2025-08-18,spatt,regular,shipped,brooks,shore,NA,FALSE,FALSE,missing
255,BKS_BL_SH_03,2025-08-18,spatt,regular,shipped,brooks,shore,NA,FALSE,FALSE,missing
256,BKS_BL_SH_04,2025-08-20,spatt,regular,shipped,brooks,shore,NA,FALSE,FALSE,missing
257,BKS_BL_SH_05,2025-08-20,spatt,regular,shipped,brooks,shore,NA,FALSE,FALSE,missing
258,BKS_BL_SH_06,2025-08-20,spatt,regular,shipped,brooks,shore,NA,FALSE,FALSE,missing
259,BKS_BL_SH_07,2025-08-20,spatt,regular,shipped,brooks,shore,NA,FALSE,FALSE,missing
260,BKS_BL_BON,2025-08-20,spatt,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
261,BKS_BL_CREEK,2025-08-20,spatt,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
262,BKS_BL_BU_SS,2025-08-20,spatt,regular,shipped,brooks,buoy,surface,FALSE,FALSE,missing
263,BKS_BL_BU_DD,2025-08-20,spatt,regular,shipped,brooks,buoy,bottom,FALSE,FALSE,missing
264,BKS_UB_SH_08,2025-08-19,spatt,regular,shipped,upper brooks,shore,NA,FALSE,FALSE,missing
265,BKS_UB_SH_09,2025-08-19,spatt,regular,shipped,upper brooks,shore,NA,FALSE,FALSE,missing
266,BKS_UB_BU_SS,2025-08-19,spatt,regular,shipped,upper brooks,buoy,surface,FALSE,FALSE,missing
267,BKS_UB_BU_DD,2025-08-19,spatt,regular,shipped,upper brooks,buoy,bottom,FALSE,FALSE,missing
268,BKS_RN_SH_10,2025-08-19,spatt,regular,shipped,rainbow,shore,NA,FALSE,FALSE,missing
269,BKS_RN_BU_SS,2025-08-19,spatt,regular,shipped,rainbow,buoy,surface,FALSE,FALSE,missing
270,BKS_RN_BU_DD,2025-08-19,spatt,regular,shipped,rainbow,buoy,bottom,FALSE,FALSE,missing
271,BKS_LJ_BU_SS,2025-08-19,spatt,regular,shipped,lower jade,buoy,surface,FALSE,FALSE,missing
272,BKS_LJ_BU_DD,2025-08-19,spatt,regular,shipped,lower jade,buoy,bottom,FALSE,FALSE,missing
273,BKS_RN_BU_SS,2025-08-19,spatt,duplicate,shipped,rainbow,buoy,surface,FALSE,FALSE,missing
274,BYS_BR_SH_01,2025-08-18,spatt,regular,shipped,boysen,shore,NA,FALSE,FALSE,missing
275,BYS_PC_SH_02,2025-08-18,spatt,regular,shipped,boysen,shore,NA,FALSE,FALSE,missing
276,BYS_FR_SH_03,2025-08-18,spatt,regular,shipped,boysen,shore,NA,FALSE,FALSE,missing
277,BYS_CR_SH_04,2025-08-18,spatt,regular,shipped,boysen,shore,NA,FALSE,FALSE,missing
278,BYS_BY_BU_SS,2025-08-18,spatt,regular,not collected,boysen,buoy,surface,FALSE,FALSE,not collected
279,BYS_BY_BU_DD,2025-08-18,spatt,regular,not collected,boysen,buoy,bottom,FALSE,FALSE,not collected
280,BYS_BR_SH_01,2025-08-18,spatt,duplicate,shipped,boysen,shore,NA,FALSE,FALSE,missing
281,SPATT_BLANK,2025-08-19,spatt,blank,shipped,blank,NA,NA,FALSE,FALSE,missing
282,BKS_BL_SH_01,2025-08-18,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
283,BKS_BL_SH_02,2025-08-18,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
284,BKS_BL_SH_03,2025-08-18,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
285,BKS_BL_SH_04,2025-08-20,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
286,BKS_BL_SH_05,2025-08-20,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
287,BKS_BL_SH_06,2025-08-20,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
288,BKS_BL_SH_07,2025-08-20,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
289,BKS_BL_BON,2025-08-20,grab,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
